ground_truth_species,predicted_species,count
Fagus grandifolia,Amelanchier arborea,1
Fagus grandifolia,Populus tremuloides,1
Quercus alba,Quercus bicolor,1
Quercus alba,Magnolia acuminata,1
Quercus bicolor,Carya laciniosa,1
Quercus bicolor,Quercus alba,1
Quercus bicolor,Quercus palustris,1
Quercus bicolor,Magnolia acuminata,1
Quercus macrocarpa,Ulmus americana,1
Quercus macrocarpa,Quercus bicolor,1
Quercus macrocarpa,Quercus muehlenbergii,1
Quercus muehlenbergii,Quercus macrocarpa,1
Quercus muehlenbergii,Quercus bicolor,1
Quercus rubra,Quercus muehlenbergii,1
Quercus rubra,Quercus macrocarpa,1
Quercus rubra,Prunus pensylvanica,1
Quercus rubra,Quercus bicolor,1
Quercus rubra,Ulmus americana,1
Quercus rubra,Celtis occidentalis,1
Quercus rubra,Magnolia acuminata,1
Quercus rubra,Amelanchier arborea,1
Quercus rubra,Quercus alba,1
Quercus rubra,Platanus occidentalis,1
Quercus rubra,Populus deltoides,1
Quercus rubra,Fagus grandifolia,1
Quercus velutina,Quercus rubra,1
Quercus velutina,Magnolia acuminata,1
Quercus velutina,Platanus occidentalis,1
Quercus velutina,Fagus grandifolia,1
Ginkgo biloba,Gymnocladus dioicus,1
Ginkgo biloba,Pinus rigida,1
Ginkgo biloba,Juniperus virginiana,1
Ginkgo biloba,Staphylea trifolia,1
Ginkgo biloba,Populus deltoides,1
Hamamelis virginiana,Prunus pensylvanica,1
Hamamelis virginiana,Ostrya virginiana,1
Aesculus glabra,Fraxinus pennsylvanica,1
Aesculus glabra,Acer saccharinum,1
Aesculus glabra,Quercus muehlenbergii,1
Aesculus hippocastanum,Ulmus rubra,1
Carya laciniosa,Juglans cinerea,1
Carya ovata,Ostrya virginiana,1
Carya ovata,Amelanchier arborea,1
Carya ovata,Rhus copallinum,1
Carya ovata,Carya cordiformis,1
Carya ovata,Ilex verticillata,1
Carya ovata,Carya laciniosa,1
Juglans cinerea,Juglans nigra,1
Juglans cinerea,Cephalanthus occidentalis,1
Juglans cinerea,Quercus muehlenbergii,1
Juglans nigra,Carya cordiformis,1
Juglans nigra,Ailanthus altissima,1
Juglans nigra,Celtis occidentalis,1
Juglans nigra,Acer saccharinum,1
Juglans nigra,Magnolia acuminata,1
Lindera benzoin,Amelanchier arborea,1
Sassafras albidum,Carya laciniosa,1
Sassafras albidum,Lindera benzoin,1
Sassafras albidum,Castanea dentata,1
Sassafras albidum,Tilia americana,1
Magnolia acuminata,Sorbus americana,1
Magnolia acuminata,Celtis occidentalis,1
Magnolia acuminata,Ostrya virginiana,1
Fraxinus americana,Robinia pseudoacacia,1
Fraxinus americana,Gymnocladus dioicus,1
Fraxinus americana,Quercus bicolor,1
Fraxinus americana,Aesculus hippocastanum,1
Fraxinus pennsylvanica,Ailanthus altissima,1
