representation,comparison,relation,bin_left,bin_right,bin_center,density
bioclip,normalized_organ,same,0.9540998336225748,0.9693998890817166,0.9617498613521457,0.00793242796423119
bioclip,normalized_organ,same,0.9693998890817166,0.9846999445408582,0.9770499168112874,0.0033996119846705594
bioclip,normalized_organ,same,0.9846999445408582,1.0,0.9923499722704291,0.0
bioclip,normalized_organ,different,-0.2240044367313385,-0.20870438127219676,-0.2163544090017676,0.0
bioclip,normalized_organ,different,-0.20870438127219676,-0.19340432581305503,-0.2010543535426259,0.0
bioclip,normalized_organ,different,-0.19340432581305503,-0.1781042703539133,-0.18575429808348415,0.0
bioclip,normalized_organ,different,-0.1781042703539133,-0.16280421489477157,-0.17045424262434244,0.0
bioclip,normalized_organ,different,-0.16280421489477157,-0.14750415943562983,-0.15515418716520069,0.0
bioclip,normalized_organ,different,-0.14750415943562983,-0.1322041039764881,-0.13985413170605898,0.0
bioclip,normalized_organ,different,-0.1322041039764881,-0.11690404851734637,-0.12455407624691724,0.0
bioclip,normalized_organ,different,-0.11690404851734637,-0.10160399305820464,-0.1092540207877755,0.0
bioclip,normalized_organ,different,-0.10160399305820464,-0.08630393759906291,-0.09395396532863377,0.0
bioclip,normalized_organ,different,-0.08630393759906291,-0.07100388213992118,-0.07865390986949204,0.0
bioclip,normalized_organ,different,-0.07100388213992118,-0.055703826680779445,-0.06335385441035031,0.0
bioclip,normalized_organ,different,-0.055703826680779445,-0.04040377122163771,-0.04805379895120858,0.0
bioclip,normalized_organ,different,-0.04040377122163771,-0.02510371576249598,-0.03275374349206685,0.0
bioclip,normalized_organ,different,-0.02510371576249598,-0.00980366030335425,-0.017453688032925116,0.0
bioclip,normalized_organ,different,-0.00980366030335425,0.005496395155787481,-0.0021536325737833845,0.0
bioclip,normalized_organ,different,0.005496395155787481,0.020796450614929213,0.013146422885358347,0.00029456862596417924
bioclip,normalized_organ,different,0.020796450614929213,0.036096506074070916,0.028446478344500065,0.0017674117557850786
bioclip,normalized_organ,different,0.036096506074070916,0.051396561533212676,0.043746533803641796,0.004889839191005367
