representation,k,seed,n_init,species_nmi,organ_nmi,species_purity,organ_purity,inertia,iterations
dinov3,10,51,1,0.21666780639764469,0.5272752255684919,0.12736136502132847,0.7422303473491774,1071.3580322265625,13
dinov3,20,42,1,0.3055598778994158,0.49071126387143976,0.15722120658135283,0.7739183424741012,967.2073364257812,22
dinov3,20,43,1,0.3173619345455079,0.4716616615960969,0.1761121267519805,0.7525898842169408,973.4016723632812,14
dinov3,20,44,1,0.31488002672972387,0.5058680772009718,0.16514320536258378,0.7928092626447288,961.5789794921875,25
dinov3,20,45,1,0.3235134308640978,0.48121060900146356,0.17915904936014626,0.7641681901279708,965.486083984375,18
dinov3,20,46,1,0.3186663088553745,0.5257400826653248,0.16697135892748324,0.8080438756855576,952.9751586914062,20
dinov3,20,47,1,0.3448258856137998,0.49302097094992337,0.18525289457647776,0.7818403412553321,964.60107421875,21
dinov3,20,48,1,0.33395195259427696,0.46816838021084156,0.1809872029250457,0.7599024984765387,957.9925537109375,22
dinov3,20,49,1,0.30644138269628546,0.5352979374662766,0.16514320536258378,0.825716026812919,964.9671630859375,20
dinov3,20,50,1,0.3281367589443215,0.5022281262744422,0.1712370505789153,0.7739183424741012,957.35791015625,17
dinov3,20,51,1,0.32622342814307675,0.5110888180962636,0.17794028031687995,0.8037781840341255,954.3820190429688,14
dinov3,50,42,1,0.4606853572810827,0.48618785997336184,0.27544180377818406,0.8409506398537477,820.1380615234375,20
dinov3,50,43,1,0.4552975934700788,0.4942821841913961,0.2681291895185862,0.8391224862888482,820.900146484375,13
dinov3,50,44,1,0.4499441655405939,0.4889673254112037,0.2790981109079829,0.8348567946374162,817.9057006835938,10
dinov3,50,45,1,0.45831342966239147,0.5026755998208897,0.2845825716026813,0.8507007921998782,814.55322265625,12
dinov3,50,46,1,0.4506715812927215,0.488121520693474,0.2784887263863498,0.8391224862888482,814.8413696289062,11
dinov3,50,47,1,0.4481229945056598,0.48203689554636453,0.2681291895185862,0.8220597196831201,819.3152465820312,14
dinov3,50,48,1,0.4588190057995926,0.4828484959574946,0.295551492992078,0.8208409506398537,822.6138916015625,13
dinov3,50,49,1,0.46278190201148073,0.49575739580282563,0.28214503351614867,0.8324192565508836,816.4194946289062,21
dinov3,50,50,1,0.4600974901184161,0.4949162930197905,0.28153564899451555,0.8439975624619135,816.6371459960938,13
dinov3,50,51,1,0.4606591438125588,0.48125902208950283,0.2809262644728824,0.8281535648994516,816.2027587890625,12
